"league","season","team","player","league_id","season_id","team_id","player_id","position_raw","matches","minutes","goals","xg","np_goals","np_xg","assists","xa","shots","key_passes","yellow_cards","red_cards","xgchain","xgbuildup","nation","position_group","npg","xg_plus_xa","npg_plus_xa","xg_per90","xa_per90","xgchain_per90","xgbuildup_per90","npg_per90","goals_per90","shots_per90","key_passes_per90","assists_per90","sb_minutes","sb_goals","sb_xg","sb_np_xg","sb_shots","sb_np_shots","sb_assists","sb_xa","sb_key_passes","sb_progressive_passes","sb_progressive_carries","sb_competitions","sb_nation"
"ENG-Premier League",2122,"Arsenal","Gabriel",1,2021,83,5613,"D",35,3075,5,3.5427271053195,5,3.5427271053195,0,0.24852230399847,29,8,6,1,11.804188192822,11.4123681494966,"Brazil","DEF",NA,3.79124940931797,0.24852230399847,0.103689573814229,0.0072738235316625,0.345488434911864,0.334020531204779,NA,0.146341463414634,0.848780487804878,0.234146341463415,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Gabriel Martinelli",1,2021,83,7752,"F M S",29,1877,6,8.86431922391057,5,8.10314919427037,6,4.08466687612236,51,34,1,1,10.5285966675729,2.56051430292428,"Brazil","F M S",NA,12.9489861000329,4.08466687612236,0.42503395319763,0.195855097949394,0.504834150283195,0.122773727897275,NA,0.287693127330847,2.4453915823122,1.6302610548748,0.287693127330847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Granit Xhaka",1,2021,83,204,"D M",27,2338,1,1.10748398583382,1,1.10748398583382,2,2.42471159435809,27,32,10,1,13.4804876558483,10.9906575996429,"Switzerland","D M",NA,3.53219558019191,2.42471159435809,0.0426319755025851,0.0933379142396183,0.518923819087401,0.423079206145363,NA,0.0384944396920444,1.0393498716852,1.23182207014542,0.0769888793840889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Kieran Tierney",1,2021,83,8089,"D",22,1926,1,0.614481509663165,1,0.614481509663165,3,1.246632007882,15,20,0,0,6.72819640114903,5.27379622682929,"Scotland","DEF",NA,1.86111351754516,1.246632007882,0.0287140892365964,0.0582538321440186,0.314401700988273,0.24643907602006,NA,0.0467289719626168,0.700934579439252,0.934579439252336,0.14018691588785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Martin Odegaard",1,2021,83,2517,"M S",36,2803,7,4.2235817015171,7,4.2235817015171,4,6.60195172950625,53,75,4,0,18.2350518275052,10.9133098358288,"Norway","M S",NA,10.8255334310234,6.60195172950625,0.135612683958808,0.21197847151465,0.585499345157143,0.350409520237101,NA,0.224759186585801,1.70174812700678,2.40813414199072,0.128433820906172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Nicolas Pepe",1,2021,83,5656,"M S",20,646,1,3.44864962249994,1,3.44864962249994,2,1.33094258606434,23,12,0,0,5.50802187621593,1.40274316817522,"France","M S",NA,4.77959220856428,1.33094258606434,0.480462021710518,0.185425437686982,0.767371468822654,0.195428614761254,NA,0.139318885448916,3.20433436532508,1.671826625387,0.278637770897833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Nuno Tavares",1,2021,83,9691,"D S",22,1162,1,1.75629661232233,1,1.75629661232233,1,1.06453042291105,23,10,2,0,6.06093871220946,3.75768114253879,"Portugal","D S",NA,2.82082703523338,1.06453042291105,0.136029858097255,0.0824507212237472,0.469435872718461,0.291042429284415,NA,0.0774526678141136,1.78141135972461,0.774526678141136,0.0774526678141136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Pablo Marí",1,2021,83,8380,"D",2,180,0,0.0315680988132953,0,0.0315680988132953,0,0.426490992307663,1,1,1,0,0.375875197350979,0.375875197350979,"Spain","DEF",NA,0.458059091120958,0.426490992307663,0.0157840494066476,0.213245496153831,0.187937598675489,0.187937598675489,NA,0,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Pierre-Emerick Aubameyang",1,2021,83,318,"F S",14,1047,4,6.89322359487414,4,5.37088402733207,1,0.801416404545307,34,9,3,0,5.43935548514128,0.963660757988691,"Spain","F S",NA,7.69463999941945,0.801416404545307,0.592540710161101,0.0688896622818315,0.467566374080912,0.0828361683084834,NA,0.343839541547278,2.92263610315186,0.773638968481375,0.0859598853868194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Sead Kolasinac",1,2021,83,342,"D S",2,91,0,0,0,0,0,0,0,0,1,0,0,0,"Germany","D S",NA,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
