"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"FIFA World Cup Qualification — CONMEBOL","M",NA,2022,NA,"16","Tue",2022-02-01,"20:30","Argentina",1,"Colombia",0,NA,"Estadio Monumental Antonio Vespucio Libe...","Raphael Claus","","https://fbref.com/en/matches/493cc195/Argentina-Colombia-February-1-2022-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2022,NA,"16","Tue",2022-02-01,"21:30","Brazil",4,"Paraguay",0,NA,"Estádio Governador Magalhães Pinto","Facundo Tello","","https://fbref.com/en/matches/8ce68c2d/Brazil-Paraguay-February-1-2022-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2022,NA,"17","Thu",2022-03-24,"20:30","Paraguay",3,"Ecuador",1,NA,"Estadio Antonio Aranda","Jesús Valenzuela","","https://fbref.com/en/matches/a8f4fdcc/Paraguay-Ecuador-March-24-2022-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2022,NA,"18","Tue",2022-03-29,"18:30","Ecuador",1,"Argentina",1,NA,"Estadio Monumental Isidro Romero Carbo","Raphael Claus","","https://fbref.com/en/matches/5d9d75cd/Ecuador-Argentina-March-29-2022-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"1","Thu",2023-09-07,"21:00","Argentina",1,"Ecuador",0,84500,"Estadio Mâs Monumental","",NA,"https://fbref.com/en/matches/2f7e4951/Argentina-Ecuador-September-7-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"2","Tue",2023-09-12,"16:00","Ecuador",2,"Uruguay",1,35613,"Estadio Rodrigo Paz Delgado","",NA,"https://fbref.com/en/matches/37e01439/Ecuador-Uruguay-September-12-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"3","Thu",2023-10-12,"15:30","Colombia",2,"Uruguay",2,43915,"Estadio Metropolitano Roberto Meléndez","",NA,"https://fbref.com/en/matches/69c44fb6/Colombia-Uruguay-October-12-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"3","Thu",2023-10-12,"20:00","Argentina",1,"Paraguay",0,80000,"Estadio Mâs Monumental","",NA,"https://fbref.com/en/matches/26b9c13c/Argentina-Paraguay-October-12-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"4","Tue",2023-10-17,"18:30","Ecuador",0,"Colombia",0,NA,"Estadio Rodrigo Paz Delgado","",NA,"https://fbref.com/en/matches/bbd48b0c/Ecuador-Colombia-October-17-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"4","Tue",2023-10-17,"21:00","Uruguay",2,"Brazil",0,52477,"Estadio Centenario","",NA,"https://fbref.com/en/matches/234290bd/Uruguay-Brazil-October-17-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"5","Thu",2023-11-16,"19:00","Colombia",2,"Brazil",1,NA,"Estadio Metropolitano Roberto Meléndez","",NA,"https://fbref.com/en/matches/d050b216/Colombia-Brazil-November-16-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"5","Thu",2023-11-16,"21:00","Argentina",0,"Uruguay",2,NA,"Estadio Alberto José Armando","",NA,"https://fbref.com/en/matches/863e2131/Argentina-Uruguay-November-16-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"6","Tue",2023-11-21,"20:00","Paraguay",0,"Colombia",1,25298,"Estadio Defensores del Chaco","",NA,"https://fbref.com/en/matches/6c72239f/Paraguay-Colombia-November-21-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"6","Tue",2023-11-21,"21:30","Brazil",0,"Argentina",1,NA,"Estadio Jornalista Mário Filho","",NA,"https://fbref.com/en/matches/d9dda5bc/Brazil-Argentina-November-21-2023-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"7","Fri",2024-09-06,"20:30","Uruguay",0,"Paraguay",0,47741,"Estadio Centenario","Darío Herrera",NA,"https://fbref.com/en/matches/87b3dc5b/Uruguay-Paraguay-September-6-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"7","Fri",2024-09-06,"22:00","Brazil",1,"Ecuador",0,NA,"Estádio Major Antônio Couto Pereira","Facundo Tello",NA,"https://fbref.com/en/matches/8da8f0c8/Brazil-Ecuador-September-6-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"8","Tue",2024-09-10,"15:30","Colombia",2,"Argentina",1,NA,"Estadio Metropolitano Roberto Meléndez","Piero Maza",NA,"https://fbref.com/en/matches/a116795c/Colombia-Argentina-September-10-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"8","Tue",2024-09-10,"20:30","Paraguay",1,"Brazil",0,31962,"Estadio Defensores del Chaco","Andrés Matonte",NA,"https://fbref.com/en/matches/f40d8740/Paraguay-Brazil-September-10-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"9","Thu",2024-10-10,"16:00","Ecuador",0,"Paraguay",0,NA,"Estadio Rodrigo Paz Delgado","Raphael Claus",NA,"https://fbref.com/en/matches/c4354f34/Ecuador-Paraguay-October-10-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"10","Tue",2024-10-15,"20:30","Uruguay",0,"Ecuador",0,27112,"Estadio Centenario","Cristián Garay",NA,"https://fbref.com/en/matches/d046b8a6/Uruguay-Ecuador-October-15-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"11","Thu",2024-11-14,"20:30","Paraguay",2,"Argentina",1,32200,"Estadio Defensores del Chaco","Anderson Daronco",NA,"https://fbref.com/en/matches/70ebc98c/Paraguay-Argentina-November-14-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"11","Fri",2024-11-15,"21:00","Uruguay",3,"Colombia",2,NA,"Estadio Centenario","Kevin Ortega",NA,"https://fbref.com/en/matches/68a63ecd/Uruguay-Colombia-November-15-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"12","Tue",2024-11-19,"18:00","Colombia",0,"Ecuador",1,NA,"Estadio Metropolitano Roberto Meléndez","Esteban Ostojich",NA,"https://fbref.com/en/matches/58dcd927/Colombia-Ecuador-November-19-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"12","Tue",2024-11-19,"21:45","Brazil",1,"Uruguay",1,NA,"Estádio Octávio Mangabeira","Piero Maza",NA,"https://fbref.com/en/matches/1d7d18d3/Brazil-Uruguay-November-19-2024-WCQ----CONMEBOL-M",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"13","Tue",2025-03-04,"","Brazil",NA,"Colombia",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/ab73cfe5/304635c3/Colombia-vs-Brazil-History",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"13","Tue",2025-03-04,"","Uruguay",NA,"Argentina",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/f9fddd6e/870e020f/Argentina-vs-Uruguay-History",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"14","Wed",2025-03-12,"","Colombia",NA,"Paraguay",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/d2043442/ab73cfe5/Paraguay-vs-Colombia-History",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"14","Wed",2025-03-12,"","Argentina",NA,"Brazil",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/f9fddd6e/304635c3/Argentina-vs-Brazil-History",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"15","Wed",2025-06-04,"","Paraguay",NA,"Uruguay",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/d2043442/870e020f/Paraguay-vs-Uruguay-History",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"15","Wed",2025-06-04,"","Ecuador",NA,"Brazil",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/304635c3/123acaf8/Brazil-vs-Ecuador-History",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"16","Thu",2025-06-12,"","Brazil",NA,"Paraguay",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/d2043442/304635c3/Paraguay-vs-Brazil-History",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"16","Thu",2025-06-12,"","Argentina",NA,"Colombia",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/f9fddd6e/ab73cfe5/Argentina-vs-Colombia-History",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"17","Thu",2025-09-04,"","Paraguay",NA,"Ecuador",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/d2043442/123acaf8/Paraguay-vs-Ecuador-History",NA,NA
"FIFA World Cup Qualification — CONMEBOL","M",NA,2026,NA,"18","Fri",2025-09-12,"","Ecuador",NA,"Argentina",NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/f9fddd6e/123acaf8/Argentina-vs-Ecuador-History",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","1","Wed",2021-03-24,"20:00","Turkey",4,"Netherlands",2,NA,"Ali Sami Yen Stadyumu","Michael Oliver","","https://fbref.com/en/matches/610e3a27/Turkiye-Netherlands-March-24-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","1","Thu",2021-03-25,"19:45","Scotland",2,"Austria",2,NA,"Hampden Park","Carlos del Cerro","","https://fbref.com/en/matches/8847290c/Scotland-Austria-March-25-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","2","Sat",2021-03-27,"18:00","Norway",0,"Turkey",3,NA,"Estadio La Rosaleda","Alejandro Hernández","","https://fbref.com/en/matches/cc335320/Norway-Turkiye-March-27-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","2","Sat",2021-03-27,"20:45","Czech Republic",1,"Belgium",1,NA,"Sinobo Stadium","William Collum","","https://fbref.com/en/matches/fa122c1f/Czechia-Belgium-March-27-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","3","Wed",2021-03-31,"20:45","Bosnia and Herzegovina",0,"France",1,NA,"Stadion Grbavica","Daniele Orsato","","https://fbref.com/en/matches/be7aea79/Bosnia-and-Herzegovina-France-March-31-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","4","Wed",2021-09-01,"20:45","Norway",1,"Netherlands",1,6711,"Ullevaal Stadion","Szymon Marciniak","","https://fbref.com/en/matches/4a8d10d3/Norway-Netherlands-September-1-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","4","Wed",2021-09-01,"20:45","France",1,"Bosnia and Herzegovina",1,21754,"Stade de la Meinau","Sandro Schärer","","https://fbref.com/en/matches/f017fdc5/France-Bosnia-and-Herzegovina-September-1-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","4","Thu",2021-09-02,"20:45","Sweden",2,"Spain",1,16901,"Friends Arena","Anthony Taylor","","https://fbref.com/en/matches/a2c7d162/Sweden-Spain-September-2-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","5","Sun",2021-09-05,"20:45","Belgium",3,"Czech Republic",0,21416,"Stade Roi Baudouin","Michael Oliver","","https://fbref.com/en/matches/7d0e1c6f/Belgium-Czechia-September-5-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","6","Tue",2021-09-07,"20:45","Austria",0,"Scotland",1,18800,"Ernst-Happel-Stadion","Georgi Kabakov","","https://fbref.com/en/matches/0c0e9a3b/Austria-Scotland-September-7-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","6","Tue",2021-09-07,"20:45","Netherlands",6,"Turkey",1,31389,"Johan Cruyff ArenA","Daniele Orsato","","https://fbref.com/en/matches/3b32eef9/Netherlands-Turkiye-September-7-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","7","Fri",2021-10-08,"21:45","Turkey",1,"Norway",1,21408,"Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...","Felix Brych","","https://fbref.com/en/matches/32f97ddc/Turkiye-Norway-October-8-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","10","Sun",2021-11-14,"20:45","Spain",1,"Sweden",0,51844,"Estadio La Cartuja de Sevilla","Felix Brych","","https://fbref.com/en/matches/d774904e/Spain-Sweden-November-14-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"First round","10","Tue",2021-11-16,"20:45","Netherlands",2,"Norway",0,NA,"Stadion Feijenoord","Clément Turpin","","https://fbref.com/en/matches/bf5b686d/Netherlands-Norway-November-16-2021-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"Semi-finals","","Thu",2022-03-24,"19:45","Portugal",3,"Turkey",1,48010,"Estádio Do Dragão","Daniel Siebert","","https://fbref.com/en/matches/9a1557c0/Portugal-Turkiye-March-24-2022-WCQ----UEFA-M",NA,NA
"FIFA World Cup Qualification — UEFA","M",NA,2022,"Semi-finals","","Thu",2022-03-24,"20:45","Sweden",1,"Czech Republic",0,48628,"Friends Arena","Michael Oliver","Required Extra Time","https://fbref.com/en/matches/4f8f7d57/Sweden-Czechia-March-24-2022-WCQ----UEFA-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Mon",2021-02-15,"17:00","Jordan",0,"Uzbekistan",2,NA,"Theyab Awana Stadium (Neutral Site)","Ahmed Eisa Mohamed","","https://fbref.com/en/matches/78d8c9ae/Jordan-Uzbekistan-February-15-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Thu",2021-03-25,"19:20","Japan",3,"Korea Republic",0,8356,"Nissan Stadium","Rowan Arumughan","","https://fbref.com/en/matches/e3a0b447/Japan-Korea-Republic-March-25-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Mon",2021-03-29,"18:00","Uzbekistan",0,"Iraq",1,18132,"Milliy Stadioni","Nurzat Askat uulu","","https://fbref.com/en/matches/62d20df8/Uzbekistan-Iraq-March-29-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sun",2021-05-30,"20:15","Switzerland",2,"United States",1,NA,"Kybunpark","Harm Osmers","","https://fbref.com/en/matches/4821af86/Switzerland-United-States-May-30-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Wed",2021-06-02,"20:00","England",1,"Austria",0,NA,"Riverside Stadium","Lawrence Visser","","https://fbref.com/en/matches/e7853555/England-Austria-June-2-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Wed",2021-06-02,"20:45","Netherlands",2,"Scotland",2,NA,"Estádio Do Algarve","Vitor Ferreira Fernandes","","https://fbref.com/en/matches/5ad0dffb/Netherlands-Scotland-June-2-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Fri",2021-06-04,"19:30","Spain",0,"Portugal",0,NA,"Estadio Wanda Metropolitano","Craig Pawson","","https://fbref.com/en/matches/9df344e7/Spain-Portugal-June-4-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sat",2021-06-05,"20:30","Tunisia",1,"DR Congo",0,NA,"Stade Hammadi Agrebi","Mutaz Ibrahim","","https://fbref.com/en/matches/34b15ae3/Tunisia-Congo-DR-June-5-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sun",2021-06-06,"20:45","Belgium",1,"Croatia",0,NA,"Stade Roi Baudouin","Deniz Aytekin","","https://fbref.com/en/matches/bbcc0de2/Belgium-Croatia-June-6-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Tue",2021-06-08,"19:00","Senegal",2,"Cape Verde",0,NA,"Stade Lat Dior","Maudo Jallow","","https://fbref.com/en/matches/f8576fcd/Senegal-Cape-Verde-June-8-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Tue",2021-06-08,"20:00","Morocco",1,"Ghana",0,NA,"Stade Prince Moulay Abdallah","Adalbert Diouf","","https://fbref.com/en/matches/328b5727/Morocco-Ghana-June-8-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Fri",2021-06-11,"20:30","Tunisia",0,"Algeria",2,NA,"Stade Hammadi Agrebi","Mohamed Maarouf","","https://fbref.com/en/matches/8844e792/Tunisia-Algeria-June-11-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sat",2021-06-12,"17:00","Ghana",0,"Ivory Coast",0,NA,"Cape Coast Sports Stadium","Daouda Guèye","","https://fbref.com/en/matches/9fb36e6d/Ghana-Cote-dIvoire-June-12-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Wed",2021-06-30,"20:30","Mexico",3,"Panama",0,30386,"Nissan Stadium (Neutral Site)","Kevin Morrison","","https://fbref.com/en/matches/3827fb88/Mexico-Panama-June-30-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sat",2021-09-04,"18:45","Qatar",1,"Portugal",3,NA,"Nagyerdei Stadion","Gergő Bogár","","https://fbref.com/en/matches/f47c4bcc/Qatar-Portugal-September-4-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sat",2021-09-04,"19:00","Jordan",0,"Haiti",2,NA,"Sheikh Ali bin Mohammed Stadium (Neutral Site)","Mohamed Khaled","","https://fbref.com/en/matches/3a5b6195/Jordan-Haiti-September-4-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sun",2021-09-05,"15:00","Sweden",2,"Uzbekistan",1,NA,"Friends Arena","Kai Erik Steen","","https://fbref.com/en/matches/acd7a2c8/Sweden-Uzbekistan-September-5-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sat",2021-10-09,"12:00","New Zealand",2,"Curaçao",1,NA,"Stād al-Bahrayn al-Watanī (Neutral Site)","Mohamed Bunafoor","","https://fbref.com/en/matches/c8d8b15c/New-Zealand-Curacao-October-9-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sat",2021-10-09,"20:15","Portugal",3,"Qatar",0,NA,"Estádio Do Algarve","Fedayi San","","https://fbref.com/en/matches/d0977428/Portugal-Qatar-October-9-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Tue",2021-10-12,"17:00","Jordan",3,"Uzbekistan",0,2500,"Amman International Stadium","Ahmad Ibrahim","","https://fbref.com/en/matches/9b0e1e22/Jordan-Uzbekistan-October-12-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Wed",2021-10-27,"21:00","Mexico",2,"Ecuador",3,39987,"Bank of America Stadium","Ted Unkel","","https://fbref.com/en/matches/e5bd0e9d/Mexico-Ecuador-October-27-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2021,NA,NA,"Sat",2021-12-18,"17:15","United States",1,"Bosnia and Herzegovina",0,11044,"Dignity Health Sports Park","Keylor Herrera","","https://fbref.com/en/matches/db256c22/United-States-Bosnia-and-Herzegovina-December-18-2021-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Wed",2022-01-05,"19:00","Algeria",3,"Ghana",0,1045,"Education City Stadium (Neutral Site)","Saoud Ali Al Adba","","https://fbref.com/en/matches/6b6d0857/Algeria-Ghana-January-5-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Fri",2022-01-28,"19:00","Jordan",3,"New Zealand",1,NA,"NYUAD Athletics Multi-use Field (Neutral Site)","Ahmed Eisa Mohamed","","https://fbref.com/en/matches/5d7b8576/Jordan-New-Zealand-January-28-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Fri",2022-03-25,"21:15","France",2,"Ivory Coast",1,62510,"Orange Vélodrome (Neutral Site)","Vitor Ferreira Fernandes","","https://fbref.com/en/matches/85ebb18f/France-Cote-dIvoire-March-25-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sat",2022-03-26,"17:30","England",2,"Switzerland",1,NA,"Wembley Stadium (Neutral Site)","Andreas Ekberg","","https://fbref.com/en/matches/3a98668d/England-Switzerland-March-26-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-03-29,"19:45","England",3,"Ivory Coast",0,NA,"Wembley Stadium (Neutral Site)","Erik Lambrechts","","https://fbref.com/en/matches/ed214e41/England-Cote-dIvoire-March-29-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-03-29,"20:45","Austria",2,"Scotland",2,6600,"Ernst-Happel-Stadion (Neutral Site)","Tamás Bognár","","https://fbref.com/en/matches/4586ab10/Austria-Scotland-March-29-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-03-29,"20:45","Netherlands",1,"Germany",1,50387,"Johan Cruyff ArenA (Neutral Site)","Craig Pawson","","https://fbref.com/en/matches/897dd6ae/Netherlands-Germany-March-29-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-03-29,"21:15","France",5,"South Africa",0,48120,"Decathlon Arena - Stade Pierre-Mauroy (Neutral Site)","Sandro Schärer","","https://fbref.com/en/matches/4c80e834/France-South-Africa-March-29-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Wed",2022-06-01,"19:30","United States",3,"Morocco",0,19512,"TQL Stadium (Neutral Site)","Ismael Cornejo","","https://fbref.com/en/matches/1f428d10/United-States-Morocco-June-1-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Wed",2022-06-01,"21:00","Jordan",1,"Australia",2,NA,"Al Janoub Stadium (Neutral Site)","Saad Khalefah","","https://fbref.com/en/matches/ff5d964a/Jordan-Australia-June-1-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Thu",2022-06-02,"19:00","Japan",4,"Paraguay",1,24511,"Sapporo Dome (Neutral Site)","Chris Beath","","https://fbref.com/en/matches/3dbdcb9f/Japan-Paraguay-June-2-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Thu",2022-06-02,"19:00","Mexico",0,"Uruguay",3,57735,"State Farm Stadium (Neutral Site)","Juan Gabriel Calderón","","https://fbref.com/en/matches/471f58e1/Mexico-Uruguay-June-2-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Thu",2022-06-02,"20:00","Korea Republic",1,"Brazil",5,64872,"Seoul World Cup Stadium (Neutral Site)","Ryūji Satō","","https://fbref.com/en/matches/1ddc6610/Korea-Republic-Brazil-June-2-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sun",2022-06-05,"18:30","Mexico",0,"Ecuador",0,61104,"Soldier Field (Neutral Site)","Oliver Vergara","","https://fbref.com/en/matches/8dd4f5d5/Mexico-Ecuador-June-5-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sun",2022-06-05,"19:00","Saudi Arabia",0,"Colombia",1,2000,"Estadio Enrique Roca de Murcia (Neutral Site)","Jason Barcelo","","https://fbref.com/en/matches/a2a508d6/Saudi-Arabia-Colombia-June-5-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Mon",2022-06-06,"19:20","Japan",0,"Brazil",1,63638,"Japan National Stadium (Neutral Site)","Alireza Faghani","","https://fbref.com/en/matches/f3f835c8/Japan-Brazil-June-6-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Fri",2022-06-10,"20:00","Korea Republic",2,"Paraguay",2,40228,"Suwon World Cup Stadium (Neutral Site)","Jérémie Pignard","","https://fbref.com/en/matches/cc7e9a10/Korea-Republic-Paraguay-June-10-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sat",2022-06-11,"20:00","Ecuador",1,"Cape Verde",0,NA,"DRV PNK Stadium (Neutral Site)","Moeth Gaymes","","https://fbref.com/en/matches/3b6f39de/Ecuador-Cape-Verde-June-11-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sun",2022-06-12,"21:20","Iran",1,"Algeria",2,600,"Suheim bin Hamad Stadium (Neutral Site)","Mohammed Ahmed Al Shammari","","https://fbref.com/en/matches/4759e0ec/IR-Iran-Algeria-June-12-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-06-14,"20:00","Korea Republic",4,"Egypt",1,59712,"Seoul World Cup Stadium (Neutral Site)","Jérémie Pignard","","https://fbref.com/en/matches/893f4714/Korea-Republic-Egypt-June-14-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Wed",2022-08-31,"21:00","Mexico",0,"Paraguay",1,51387,"Mercedes-Benz Stadium (Neutral Site)","Nima Saghafi","","https://fbref.com/en/matches/30db455b/Mexico-Paraguay-August-31-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Thu",2022-09-22,"20:00","Australia",1,"New Zealand",0,25392,"Suncorp Stadium (Neutral Site)","Ryūji Satō","","https://fbref.com/en/matches/0421bf5a/Australia-New-Zealand-September-22-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Fri",2022-09-23,"14:25","Japan",2,"United States",0,5149,"Merkur Spielarena (Neutral Site)","Felix Zwayer","","https://fbref.com/en/matches/676aab42/Japan-United-States-September-23-2022-Friendlies-M",NA,NA
